Geography,White <18,Black or African American <18,American Indian or Alaska Native <18,Asian <18,Native Hawaiian And Other Pacific Islander <18,Hispanic and Latino <18,White 18-64,Black or African American 18-64,American Indian or Alaska Native 18-64,Asian 18-64,Native Hawaiian And Other Pacific Islande 18-64,Hispanic and Latino 18-64,White 65+,Black or African American 65+,American Indian or Alaska Native 65+,Asian 65+,Native Hawaiian And Other Pacific Islander 65+,Hispanic and Latino 65+
Alabama,674654,349450,12559,21848,1652,82038,1987867,828499,35946,53153,2900,121130,605783,141623,7932,5985,373,8137
Alaska,113260,12067,46522,17257,5145,20765,327888,21817,79240,35950,7281,34765,55651,1754,10039,4525,412,2252
Arizona,709256,106103,94465,67478,7374,733246,2307906,207839,192048,174674,14681,1286989,913100,25792,28667,23480,1475,136484
Arkansas,473650,143119,12777,15659,3777,86282,1333902,292608,28982,36020,5540,126728,418499,45544,6368,3702,295,7392
California,2773829,629266,91449,1284614,71062,4953159,9925321,1631179,251911,4018960,166264,9700117,3089614,280527,49648,807662,22105,1020364
Colorado,760578,78136,17672,59922,4796,415872,2494478,164612,47024,139345,9608,721984,600586,19774,6502,16694,696,73691
Connecticut,460735,103806,6166,48095,1064,184674,1554518,249980,14373,120939,2741,361118,484960,37827,2381,13305,280,31616
Delaware,113193,59576,1913,10317,318,32137,372740,133668,5172,27411,685,52938,129908,22697,1194,3905,97,3894
Florida,1907563,931758,28280,157765,9681,1270061,6604028,2068438,82389,439126,24234,3225976,2970848,329567,19113,75504,3447,570336
Georgia,1205198,899722,17629,119283,4653,368125,3498921,2068154,45371,300863,8949,587736,946814,289785,8824,34326,899,34253
Hawaii,115764,13880,7431,156181,100174,104890,331672,32536,14673,434343,187819,128536,77060,1974,1864,144484,30927,9245
Idaho,338911,8003,9164,11354,1995,82299,826589,9408,19269,21115,3197,119099,229856,614,3579,2484,282,8939
Illinois,1621694,513051,15268,183267,3070,747529,5088796,1192760,39556,503656,7453,1360814,1422422,212597,7391,79580,872,118767
Indiana,1197994,219772,10554,45698,2017,176343,3323837,404421,28311,109908,3779,262806,878552,58759,5638,9207,380,19219
Iowa,601755,52412,6557,24427,1556,74859,1666406,73592,13229,56324,2549,104281,485922,5993,1784,4194,218,6548
Kansas,515613,68469,14309,27712,1714,137804,1387084,121438,32014,64687,2863,197400,387382,16328,4687,6432,246,14675
Kentucky,840863,123817,6421,22644,1766,61332,2371057,241942,19181,49282,3098,91568,626044,35295,4478,4949,266,6166
Louisiana,603880,435159,14697,25041,1461,73925,1742734,943253,32354,66101,3020,151799,471255,155325,6088,8109,353,16855
Maine,236756,10666,4703,6562,313,7718,782180,13127,11566,13127,642,13489,245827,1040,2107,1631,88,1390
Maryland,646860,463948,11635,107865,2574,200898,2016936,1184550,30220,283592,5805,374255,577869,200911,5319,45554,773,26965
Massachusetts,932746,143567,9299,114848,2162,258281,3248329,334850,24801,333968,5784,501111,920338,46496,4364,37340,719,42915
Michigan,1584183,417879,34392,95547,2679,192913,4751645,906798,78687,225169,5766,292861,1352626,161634,13376,26903,709,27190
Minnesota,966745,142907,32122,96467,2098,120015,2826535,215107,56777,187528,3932,171595,760854,16250,6867,15741,326,9359
Mississippi,373307,322116,7293,10280,735,32730,1041524,700680,14990,25382,1617,58554,319643,111909,2943,2900,177,4562
Missouri,1074474,226541,17220,40168,4467,97877,3039362,465032,43543,96371,7397,150308,855746,74023,8696,10613,555,12758
Montana,187749,4281,27334,3937,685,14908,559686,5477,45392,8309,1097,23244,169915,356,6327,901,122,2243
Nebraska,346200,38744,9125,15458,964,83099,940598,60384,14816,33858,1544,113917,260841,6800,1712,2952,141,7392
Nevada,282399,78240,10922,60968,10372,287658,951033,171285,27632,183244,20041,512426,311068,26675,5327,37677,2508,44799
New Hampshire,235404,8547,2312,11697,337,16251,782054,13628,6448,26681,708,29441,212608,1305,1193,2589,73,2435
New Jersey,1010884,305344,10484,220370,2276,541274,3145044,783143,26251,601964,6778,1156339,990764,136169,5207,90912,1038,130239
New Mexico,135084,13862,55564,9722,946,305779,496112,30752,119902,26983,2105,610121,197934,4818,18979,4081,266,107966
New York,2169825,742139,34931,388119,5783,1082735,7094726,1963715,83699,1253376,17601,2488223,2091573,361861,15409,195426,2394,328198
North Carolina,1301608,592467,45943,90348,4826,373057,4052817,1411376,106929,209809,8466,550771,1206255,248988,19400,21287,822,29605
North Dakota,142553,7770,17031,3407,386,10958,416675,13449,26506,9458,698,16771,103285,448,2622,653,45,686
Ohio,2023680,476180,20200,78997,3358,164952,5818475,941750,53351,188811,6040,252023,1634731,164007,10122,21969,675,22691
Oklahoma,603202,111817,154144,28762,3355,170265,1697434,205001,283001,68598,5329,235285,496689,28286,44896,7016,415,14660
Oregon,603858,35564,24335,56608,9015,201716,1988588,61612,60266,146077,17925,316584,610586,6943,10818,18550,1349,20988
Pennsylvania,1931204,421764,16755,121997,2983,326460,6216705,921445,41326,319225,6811,549223,1940911,155449,7837,39473,792,45826
Rhode Island,135995,21505,3123,10226,432,53293,509481,45677,6777,29451,1151,98503,153551,5576,1152,2875,130,7981
South Carolina,636006,365724,9999,25087,1891,100719,1943056,849746,26047,61366,3812,166769,614716,159549,5093,7992,339,11494
South Dakota,163045,8489,31718,4697,355,13837,437197,10915,45301,9293,593,17972,127249,821,4973,642,57,1454
Tennessee,1038554,330138,11194,38718,2498,139584,3083442,728263,33596,89997,4655,202499,885441,107775,7835,9873,488,12191
Texas,2494780,945475,46856,353205,13667,3620703,7570347,2169840,129170,923501,27395,6479447,2096527,288753,25288,116024,2466,721812
Utah,708404,19725,14216,29083,16642,165719,1431831,24502,26288,61306,22877,244109,281130,1587,2726,5965,1537,16677
Vermont,111711,4347,1593,3727,145,3458,374977,6147,4472,8541,337,8163,107772,454,979,708,38,812
Virginia,1114720,440716,16394,161419,4576,259035,3408632,1078298,44536,409718,10087,499472,920524,182059,7963,54769,890,32490
Washington,1044101,116645,49087,179365,26285,364181,3311569,218786,111727,472034,47922,542304,902613,22337,17171,68569,3662,34996
West Virginia,352693,25429,2668,4807,365,9549,1053595,48255,8318,12978,757,17907,324032,7882,2429,2002,139,2140
Wisconsin,970691,142384,24093,58029,1592,157806,2992249,240921,48507,113352,3119,224851,847110,27202,6742,9289,319,15081
Wyoming,111637,3315,5748,2397,403,21302,311595,5961,9925,5331,640,35154,78450,833,1404,551,73,4088
