age,male pct,"female pct
"
85+,0.9571526252,0.04284737479
80-84,0.9711137829,0.02888621712
75-79,0.9698406583,0.03015934171
70-74,0.9701764621,0.0298235379
65-69,0.9542155224,0.04578447757
60-64,0.8969120414,0.1030879586
55-59,0.8688428786,0.1311571214
50-54,0.8607608605,0.1392391395
45-49,0.8566263577,0.1433736423
40-44,0.8355044865,0.1644955135
35-39,0.812867745,0.187132255
30-34,0.8179637596,0.1820362404
25-29,0.8258687288,0.1741312712
20-24,0.7976162528,0.2023837472
20 <,0.7105083094,0.2894916906